Sr No,Name,Address,Occupation,State,Unit1,Unit2,Unit3,Unit4,Unit5
1,Muhammed MacIntyre,"Eldon Base for stackable storage shelf, platinum",Storage & Organization,Nunavut,3,-213.25,38.94,35,0.8
2,Barry French,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,Nunavut,293,457.81,208.16,68.02,0.58
3,Barry French,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,Nunavut,293,46.71,8.69,2.99,0.39
4,Clay Rozendal,R380,Telephones and Communication,Nunavut,483,1198.97,195.99,3.99,0.58
5,Carlos Soltero,Holmes HEPA Air Purifier,Appliances,Nunavut,515,30.94,21.78,5.94,0.5
6,Carlos Soltero,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,Nunavut,515,4.43,6.64,4.95,0.37
7,Carl Jackson,"Angle-D Binders with Locking Rings, Label Holders",Binders and Binder Accessories,Nunavut,613,-54.04,7.3,7.72,0.38
8,Carl Jackson,"SAFCO Mobile Desk Side File, Wire Frame",Storage & Organization,Nunavut,613,127.7,42.76,6.22,
9,Monica Federle,"SAFCO Commercial Wire Shelving, Black",Storage & Organization,Nunavut,643,-695.26,138.14,35,
10,Dorothy Badders,Xerox 198,Paper,Nunavut,678,-226.36,4.98,8.33,0.38
11,Neola Schneider,Xerox 1980,Paper,Nunavut,807,-166.85,4.28,6.18,0.4
12,Neola Schneider,Advantus Map Pennant Flags and Round Head Tacks,Rubber Bands,Nunavut,807,-14.33,3.95,2,0.53
13,Carlos Daly,Holmes HEPA Air Purifier,Appliances,Nunavut,868,134.72,21.78,5.94,0.5
14,Carlos Daly,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Computer Peripherals,Nunavut,868,114.46,47.98,3.61,0.71
15,Claudia Miner,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Binders and Binder Accessories,Nunavut,933,-4.72,5.28,2.99,0.37
16,Neola Schneider,Ultra Commercial Grade Dual Valve Door Closer,Office Furnishings,Nunavut,995,782.91,39.89,3.04,0.53
17,Allen Rosenblatt,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,Nunavut,998,93.8,15.74,1.39,0.4
18,Sylvia Foulston,Hon 4-Shelf Metal Bookcases,Bookcases,Nunavut,1154,440.72,100.98,26.22,0.6
19,Sylvia Foulston,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Tables,Nunavut,1154,-481.04,71.37,69,0.68
20,Jim Radford,g520,Telephones and Communication,Nunavut,1344,-11.68,65.99,5.26,0.59
21,Jim Radford,LX 788,Telephones and Communication,Nunavut,1344,313.58,155.99,8.99,0.58
22,Carlos Soltero,Avery 52,Labels,Nunavut,1412,26.92,3.69,0.5,0.38
